Title,Description,Genre,Director
The Social Network,"The Social Network is a 2010 biographical drama film directed by David Fincher and written by Aaron Sorkin. Adapted from Ben Mezrich's 2009 book The Accidental Billionaires, it portrays the founding of social networking website Facebook and the resulting lawsuits. The film stars Jesse Eisenberg as founder Mark Zuckerberg, along with Andrew Garfield as Eduardo Saverin, and Justin Timberlake as Sean Parker, the Napster co-founder.",Biographical Drama,David Fincher
The Usual Suspects,"The Usual Suspects is a 1995 neo-noir mystery thriller film directed by Bryan Singer and written by Christopher McQuarrie. It stars Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Chazz Palminteri, Pete Postlethwaite, and Kevin Spacey. The film follows the interrogation of Roger 'Verbal' Kint, a small-time con man who is one of only two survivors of a massacre and fire on a ship docked at the Port of Los Angeles.",Mystery,Bryan Singer
Inglourious Basterds,"Inglourious Basterds is a 2009 alternate history war film written and directed by Quentin Tarantino and starring Brad Pitt, Christoph Waltz, Michael Fassbender, Eli Roth, Diane Kruger, Daniel Brühl, Til Schweiger, and Mélanie Laurent. The film tells the fictional alternate history story of two plots to assassinate Nazi Germany's political leadership, one planned by a young French Jewish cinema proprietor, and the other by a team of Jewish-American soldiers led by First Lieutenant Aldo Raine.",War,Quentin Tarantino
The Prestige,"The Prestige is a 2006 psychological thriller film directed by Christopher Nolan and written by Nolan and his brother Jonathan, based on Christopher Priest's 1995 novel of the same name. It stars Hugh Jackman, Christian Bale, Michael Caine, Scarlett Johansson, and David Bowie. The film follows Robert Angier and Alfred Borden, rival stage magicians in London at the end of the 19th century.",Psychological Thriller,Christopher Nolan
American History X,"American History X is a 1998 crime drama film directed by Tony Kaye and written by David McKenna. It stars Edward Norton, Edward Furlong, Fairuza Balk, Stacy Keach, Elliott Gould, Avery Brooks, Ethan Suplee, and Beverly D'Angelo. The film tells the story of two brothers, Derek Vinyard and Danny Vinyard, who become involved in the neo-Nazi movement.",Crime Drama,Tony Kaye
The Sixth Sense,The Sixth Sense is a 1999 supernatural psychological thriller film written and directed by M. Night Shyamalan. It stars Bruce Willis as a child psychologist whose patient can communicate with the dead and Haley Joel Osment as the boy who possesses the ability.,Supernatural Thriller,M. Night Shyamalan
Se7en,"Se7en is a 1995 psychological crime thriller film directed by David Fincher and written by Andrew Kevin Walker. It stars Brad Pitt, Morgan Freeman, Gwyneth Paltrow, Kevin Spacey, and R. Lee Ermey. The film follows two detectives, a rookie and a veteran, who hunt a serial killer who uses the seven deadly sins as his motives.",Psychological Thriller,David Fincher
The Big Lebowski,"The Big Lebowski is a 1998 crime comedy film written, produced, and directed by Joel and Ethan Coen. It stars Jeff Bridges as Jeffrey 'The Dude' Lebowski, a Los Angeles slacker and avid bowler. He is assaulted as a result of mistaken identity, after which The Dude learns that a millionaire also named Jeffrey Lebowski was the intended victim. The millionaire Lebowski's trophy wife is kidnapped, and he commissions The Dude to deliver the ransom to secure her release.",Comedy,Coen Brothers
Memento,"Memento is a 2000 neo-noir psychological thriller film written and directed by Christopher Nolan, and produced by Suzanne and Jennifer Todd. The film's script was based on a pitch by Jonathan Nolan, who later wrote the short story 'Memento Mori' from which the film is based. It stars Guy Pearce, Carrie-Anne Moss, and Joe Pantoliano.",Psychological Thriller,Christopher Nolan
No Country for Old Men,"No Country for Old Men is a 2007 neo-Western crime thriller film written and directed by Joel and Ethan Coen, based on Cormac McCarthy's 2005 novel of the same name. The film stars Tommy Lee Jones, Javier Bardem, and Josh Brolin. It follows a Texas welder and Vietnam War veteran in the desert landscape of 1980 West Texas.",Neo-Western,Coen Brothers
City of God,"City of God is a 2002 Brazilian crime film directed by Fernando Meirelles and co-directed by Kátia Lund, released in its home country in 2002 and worldwide in 2003. The story was adapted by Bráulio Mantovani from the 1997 novel of the same name written by Paulo Lins, but the plot is loosely based on real events.",Crime,"Fernando Meirelles, Kátia Lund"
The Grand Budapest Hotel,"The Grand Budapest Hotel is a 2014 comedy-drama film written and directed by Wes Anderson and co-produced by Anderson and Scott Rudin. The film stars Ralph Fiennes, Tony Revolori, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe, Jeff Goldblum, Harvey Keitel, Jude Law, Bill Murray, Edward Norton, Saoirse Ronan, Jason Schwartzman, Tilda Swinton, Tom Wilkinson, and Owen Wilson.",Comedy-Drama,Wes Anderson
Oldboy,"Oldboy is a 2003 South Korean neo-noir action thriller film directed by Park Chan-wook. It is based on the Japanese manga of the same name written by Garon Tsuchiya and illustrated by Nobuaki Minegishi. The film stars Choi Min-sik, Yu Ji-tae, and Kang Hye-jung. It follows the story of Oh Dae-su, who is imprisoned in a cell which resembles a hotel room for 15 years without knowing the identity of his captor or his captor's motives.",Neo-Noir,Park Chan-wook
Eternal Sunshine of the Spotless Mind,"Eternal Sunshine of the Spotless Mind is a 2004 science fiction romantic drama film written by Charlie Kaufman and directed by Michel Gondry. It follows an estranged couple who have each other erased from their memories, then re-met and started dating again.",Science Fiction,Michel Gondry
The Truman Show,"The Truman Show is a 1998 science fiction comedy-drama film directed by Peter Weir, produced by Scott Rudin, Andrew Niccol, Edward S. Feldman, and Adam Schroeder, and written by Niccol. The film stars Jim Carrey as Truman Burbank, a man who grew up living an ordinary life that—unbeknownst to him—takes place on a large set populated by actors for a television show about him.",Science Fiction,Peter Weir
American Beauty,"American Beauty is a 1999 American black comedy-drama film written by Alan Ball and directed by Sam Mendes. Kevin Spacey stars as Lester Burnham, an advertising executive who has a midlife crisis when he becomes infatuated with his teenage daughter's best friend, played by Mena Suvari. Annette Bening stars as Lester's materialistic wife, Carolyn, and Thora Birch plays their insecure daughter, Jane. Wes Bentley, Chris Cooper, and Allison Janney also feature.",Black Comedy-Drama,Sam Mendes
